context,question,answer
Скидка,Есть ли скидки для семей с двумя детьми?,"Да, у нас действует скидка 10% для семей, где обучаются двое и более детей. Также при покупке абонемента в день пробного урока последний будет бесплатным. Хотите воспользоваться скидкой?"
Тематические модули,Чем отличаются модули курсов? (уточнение) (уточнение),"Конечно! У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Спасибо за ваш вопрос!"
Междисциплинарный подход,Интересует следующее: Можете пояснить: Вы только программированием занимаетесь? (уточнение),"Да, конечно. Нет, у нас применяется междисциплинарный подход — дети осваивают не только ИТ, но и математику, физику, логику. Хотите подробнее узнать о содержании? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Преподаватели с опытом,Интересует следующее: Интересует следующее: Хотелось бы узнать: Кто будет вести занятия?,"Да, конечно. Занятия проводят преподаватели с опытом — все наши педагоги проходят обучение и имеют практический опыт в ИТ и образовании. Хотите посмотреть профили педагогов? Если останутся вопросы — пишите. Надеемся, это полезно."
Оборудование,Хотелось бы узнать: Можете пояснить: Нужно ли приобретать оборудование для занятий?,"Конечно! Нет, мы предоставляем все необходимое оборудование, включая наборы Lego Education и ноутбуки. Ваш ребенок будет обеспечен всем необходимым для успешного обучения. Хотите узнать о программе курсов? Спасибо за ваш вопрос!"
Игровые форматы финальных занятий,"Что происходит в конце модуля? (уточнение) Поясните, пожалуйста.","Финальные занятия проходят в игровых форматах — защита проектов, челленджи, мини-соревнования. Хотите принять участие? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Динамика в обучении,Не будет ли скучно на занятиях?,"Нет, у нас всегда поддерживается динамика в обучении — смена активностей, челленджи, творческие задания. Хотите посмотреть расписание урока?"
Занятие в небольних группах,Можете пояснить: Сколько учеников в группе?,Мы организуем занятия в небольших группах: 4-5 учеников для детей 5-8 лет и 3-4 ученика для детей 9-17 лет. Это позволяет уделять внимание каждому ребенку. Хотите записаться на пробный урок? Спасибо за ваш вопрос!
Для взрослых,"Есть ли занятия для взрослых? Поясните, пожалуйста. (уточнение)","Да, конечно. Пока мы проводим занятия только для детей. Но если вам интересны курсы по программированию или робототехнике для взрослых, мы можем рассмотреть возможность их запуска. Хотите оставить заявку? Если останутся вопросы — пишите."
Занятие в небольних группах,"Сколько учеников в группе? Поясните, пожалуйста.","Да, конечно. Мы организуем занятия в небольших группах: 4-5 учеников для детей 5-8 лет и 3-4 ученика для детей 9-17 лет. Это позволяет уделять внимание каждому ребенку. Хотите записаться на пробный урок?"
Сменная обувь и форма,Хотелось бы узнать: Хотелось бы узнать: Нужно ли брать что-то с собой?,"Сменная обувь и форма — всё, что нужно принести на занятие. Остальное оборудование мы предоставим. Хотите список для первого посещения? Спасибо за ваш вопрос! Спасибо за ваш вопрос!"
"Задания, которые можно выполнять дома",Можете пояснить: Можете пояснить: Есть ли домашние задания?,"Да, конечно. Да, для закрепления материала ученики получают задания, которые можно выполнять дома через наш образовательный портал. Хотите узнать больше о платформе? Спасибо за ваш вопрос!"
Преподаватели с опытом,Можете пояснить: Интересует следующее: Хотелось бы узнать: Кто будет вести занятия?,"Занятия проводят преподаватели с опытом — все наши педагоги проходят обучение и имеют практический опыт в ИТ и образовании. Хотите посмотреть профили педагогов? Если останутся вопросы — пишите. Надеемся, это полезно. Спасибо за ваш вопрос!"
Тематические модули,Можете пояснить: Чем отличаются модули курсов? (уточнение),"Да, конечно. У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Надеемся, это полезно."
Видеоматериалы,"Можно получить видеозапись занятий? Поясните, пожалуйста. (уточнение)",Конечно! Конечно! Видеоматериалы предоставляются только для индивидуальных курсов. Но мы делимся фрагментами в соцсетях и на платформе. Хотите пример видео?
Клубные дни,Можете пояснить: У вас бывают внеклассные мероприятия? (уточнение),"Конечно! Да! Мы проводим клубные дни — это тематические встречи, мастер-классы и конкурсы, которые помогают детям раскрыться. Хотите получить расписание ближайших клубных дней? Спасибо за ваш вопрос!"
Курсы в мини-группах,"Интересует следующее: Можете пояснить: Сколько детей на одном занятии? Поясните, пожалуйста.",Конечно! Мы проводим курсы в мини-группах — обычно 3–5 учеников. Это позволяет уделить внимание каждому. Хотите выбрать удобное время? Если останутся вопросы — пишите. Если останутся вопросы — пишите.
Мастер-классы от гостей,"Хотелось бы узнать: Можете пояснить: Вы приглашаете экспертов? Поясните, пожалуйста.","Да, конечно. Да, мы проводим мастер-классы от гостей — инженеры, преподаватели вузов и айтишники делятся опытом. Хотите попасть на одно из таких мероприятий? Надеемся, это полезно. Если останутся вопросы — пишите."
Онлайн-консультации для родителей,Проводятся ли консультации для родителей?,"Да, мы проводим онлайн-консультации для родителей, где обсуждаем успехи ребёнка и даём рекомендации. Хотите записаться на ближайшую консультацию?"
Бережная адаптация малышей,"Интересует следующее: А 5-летним детям не будет сложно? Поясните, пожалуйста.","Нет, у нас предусмотрена бережная адаптация малышей — занятия проходят в мягком игровом формате. Хотите записаться на вводное? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Сертификат,"Хотелось бы узнать: Хотелось бы узнать: Выдают ли сертификаты после завершения курсов? Поясните, пожалуйста.","Конечно! Да, после завершения каждого модуля мы выдаем сертификат. Это отличный способ отметить достижения вашего ребенка и вдохновить его на новые успехи! Хотите узнать больше о модулях? Надеемся, это полезно. Надеемся, это полезно."
Обучение в удовольствие,Интересует следующее: Можете пояснить: Моему ребёнку не нравится школа. Зайдёт ли ему курс? (уточнение),"У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок? Спасибо за ваш вопрос! Надеемся, это полезно. Надеемся, это полезно."
Смена группы,"Можно ли перейти в другую группу? (уточнение) Поясните, пожалуйста.","Конечно! Конечно! Смена группы возможна при необходимости — по возрасту, времени или уровню. Хотите, я проверю наличие мест в других группах? Спасибо за ваш вопрос!"
Обучение в формате квеста,Как вы удерживаете внимание детей?,"Мы применяем обучение в формате квеста — задания с сюжетом, поощрения, уровни сложности. Это вовлекает и мотивирует! Хотите попробовать квест-урок?"
Контроль качества занятий,Интересует следующее: Можете пояснить: Как вы проверяете качество преподавания? (уточнение),"Да, конечно. Да, конечно. Да, конечно. У нас действует контроль качества занятий — мы собираем обратную связь и проводим регулярные методические проверки. Хотите оставить отзыв?"
Индивидуальные ураки,Хотелось бы узнать: Можно ли обучаться индивидуально?,"Да, конечно. Да, у нас есть индивидуальные уроки, стоимость которых составляет 6000 тг для детей 5-9 лет и 7000 тг для детей 9-17 лет за занятие. Хотите записаться?"
Индивидуальные цели развития,Интересует следующее: Можно ли учесть особенности моего ребёнка?,"Да, у нас ставятся индивидуальные цели развития — для каждого ребёнка составляется личная траектория. Хотите пройти диагностику? Спасибо за ваш вопрос!"
Карта навыков,"Интересует следующее: Как понять, чему научился ребёнок?","Мы выдаём карту навыков — по окончании модуля вы видите, что освоено: кодинг, логика, механика. Хотите получить пример? Спасибо за ваш вопрос!"
Занятия,Хотелось бы узнать: Хотелось бы узнать: Можно ли заниматься онлайн?,"Пока все занятия проходят только офлайн, так как наши курсы предполагают работу с физическими моделями роботов. Мы проводим занятия в комфортных классах. Хотите узнать больше о локации? Если останутся вопросы — пишите. Если останутся вопросы — пишите."
Сменная обувь и форма,Интересует следующее: Можете пояснить: Хотелось бы узнать: Нужно ли брать что-то с собой?,"Сменная обувь и форма — всё, что нужно принести на занятие. Остальное оборудование мы предоставим. Хотите список для первого посещения? Спасибо за ваш вопрос! Надеемся, это полезно. Спасибо за ваш вопрос!"
Обратная связь после пробного,Будет ли обратная связь после пробного урока? (уточнение),"Конечно! Да, мы обязательно даем обратную связь после пробного урока — рассказываем об успехах и предлагаем программу. Хотите записаться на пробный?"
Вступительное занятие,Интересует следующее: Есть ли вводное занятие перед началом обучения?,"Да, конечно. Да, у нас предусмотрено вступительное занятие, на котором ребёнок может познакомиться с программой и попробовать себя. Хотите записаться на вступительное занятие?"
Гибкое расписание,Можете пояснить: Можно ли выбрать удобное время занятий?,"Конечно! Мы предлагаем гибкое расписание, чтобы вы могли выбрать наиболее подходящее время. Уточните возраст вашего ребенка, и я помогу подобрать время. Если останутся вопросы — пишите."
Родительский чат,Интересует следующее: Как можно быть в курсе прогресса?,"Мы ведем родительский чат — там вы получаете фото, отчёты и новости с занятий. Хотите, я добавлю вас в чат? Надеемся, это полезно."
Подготовка к международным конкурсам,Вы участвуете в международных соревнованиях?,"Да, у нас есть подготовка к международным конкурсам — наши ученики представляли Казахстан на WRO, FLL и других олимпиадах. Хотите, чтобы ваш ребёнок тоже попробовал?"
Курсы в мини-группах,Хотелось бы узнать: Можете пояснить: Сколько детей на одном занятии?,"Да, конечно. Мы проводим курсы в мини-группах — обычно 3–5 учеников. Это позволяет уделить внимание каждому. Хотите выбрать удобное время? Если останутся вопросы — пишите."
Дополнительные материалы,Можете пояснить: Хотелось бы узнать: Можно ли заниматься дома?,"Да, мы предоставляем дополнительные материалы — домашние задания, видеоуроки и инструкции для закрепления. Хотите доступ к материалам? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Lego Education Wedo 2.0,Можете пояснить: Интересует следующее: Что изучают дети на курсе Lego Education Wedo 2.0? (уточнение),"На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок? Спасибо за ваш вопрос! Спасибо за ваш вопрос! Спасибо за ваш вопрос!"
Фотографии с занятий,"Можно ли посмотреть, как проходят занятия? Поясните, пожалуйста.","Конечно! Да, мы регулярно выкладываем фотографии с занятий в Instagram и в чат с родителями. Хотите, я пришлю ссылку на свежие фотографии с занятий?"
Командные соревнования,"Участвуют ли дети в командных играх? Поясните, пожалуйста.","Да, у нас проходят командные соревнования — ребята работают вместе, чтобы победить в инженерных и кодинговых челленджах. Хотите принять участие? Надеемся, это полезно."
Мастер-классы от гостей,"Хотелось бы узнать: Вы приглашаете экспертов? Поясните, пожалуйста.","Да, мы проводим мастер-классы от гостей — инженеры, преподаватели вузов и айтишники делятся опытом. Хотите попасть на одно из таких мероприятий? Надеемся, это полезно. Если останутся вопросы — пишите."
Обучение в удовольствие,Интересует следующее: Моему ребёнку не нравится школа. Зайдёт ли ему курс?,"У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок? Надеемся, это полезно."
Сотрудничество с вузами,"Можете пояснить: С кем вы сотрудничаете? Поясните, пожалуйста.","Конечно! Мы активно развиваем сотрудничество с вузами — Астана IT University, НУ, КазНТУ и др. Хотите узнать, как участвовать в совместных мероприятиях? Надеемся, это полезно."
Клубные дни,"Интересует следующее: У вас бывают внеклассные мероприятия? Поясните, пожалуйста.","Конечно! Да! Мы проводим клубные дни — это тематические встречи, мастер-классы и конкурсы, которые помогают детям раскрыться. Хотите получить расписание ближайших клубных дней? Если останутся вопросы — пишите."
Расписание для детей 9-17 лет,Можете пояснить: Когда проходят занятия для детей 9-17 лет?,"Конечно! Расписание для детей 9-17 лет (курс Lego Mindstorms EV3) занятия проходят по субботам и воскресеньям: 10:00–12:00, 12:00–14:00, 14:00–16:00, 16:00–18:00. В какое время вам удобнее записаться?"
Интеграция с реальной техникой,Интересует следующее: Хотелось бы узнать: Ребёнок будет работать с настоящим оборудованием?,"Конечно! Да, конечно. Да, у нас происходит интеграция с реальной техникой — роботы, датчики, платы и ПО. Хотите увидеть список устройств?"
Lego Education Wedo 2.0,Что изучают дети на курсе Lego Education Wedo 2.0? (уточнение),"На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок? Надеемся, это полезно."
Смена направления обучения,Можете пояснить: Можно ли поменять направление в середине курса?,"Да, если ребёнку стало интересно другое направление — возможна смена направления обучения. Мы поможем подобрать подходящий курс. Хотите перейти на другой модуль? Надеемся, это полезно."
Преподаватели с опытом,Интересует следующее: Интересует следующее: Хотелось бы узнать: Кто будет вести занятия?,"Да, конечно. Занятия проводят преподаватели с опытом — все наши педагоги проходят обучение и имеют практический опыт в ИТ и образовании. Хотите посмотреть профили педагогов? Если останутся вопросы — пишите. Надеемся, это полезно."
Безопасность на занятиях,Хотелось бы узнать: Насколько безопасны ваши занятия? (уточнение),"Конечно! Безопасность на занятиях — наш приоритет. Все курсы проходят в оборудованных аудиториях, с соблюдением санитарных норм и под контролем опытных педагогов. Хотите приехать посмотреть? Если останутся вопросы — пишите."
Обмен опытом между учениками,"Можете пояснить: Хотелось бы узнать: Дети взаимодействуют между собой? Поясните, пожалуйста.","Конечно! Да, мы поощряем обмен опытом между учениками — они учатся помогать, обсуждать идеи и реализовывать проекты вместе. Хотите узнать больше о командной работе? Надеемся, это полезно. Если останутся вопросы — пишите."
Оптимальный вариант,Какие есть варианты абонементов?,"Для детей 5-9 лет: 2 месяца (1 модуль) — 60 000 тг, 4 месяца — 112 000 тг, 6 месяцев — 162 000 тг. Для детей 9-17 лет: 3 месяца — 96 000 тг, 6 месяцев — 180 000 тг, год — 336 000 тг. Хотите, я помогу выбрать оптимальный вариант?"
Обучение через практику,"Как проходит обучение на занятиях? (уточнение) Поясните, пожалуйста.","Конечно! Конечно! У нас используется обучение через практику — дети учатся, собирая роботов и решая реальные задачи. Хотите увидеть примеры заданий?"
Логическое мышление,"Хотелось бы узнать: Интересует следующее: Какие навыки развиваются на курсе? Поясните, пожалуйста.","Конечно! Одно из ключевых направлений — развитие логического мышления, которое помогает решать задачи и строить алгоритмы. Хотите увидеть примеры упражнений? Спасибо за ваш вопрос! Надеемся, это полезно."
Тематические модули,"Чем отличаются модули курсов? (уточнение) Поясните, пожалуйста.","Конечно! У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Если останутся вопросы — пишите."
Настройка оборудования,Можете пояснить: Хотелось бы узнать: Интересует следующее: Дети учатся настраивать технику?,"Да, конечно. Да, конечно. Да, мы учим настройке оборудования — от подключения сенсоров до калибровки моторов. Хотите посмотреть примеры задач? Спасибо за ваш вопрос!"
Ознакомиться с отзывами,Интересует следующее: Интересует следующее: Есть ли отзывы от других родителей?,"Конечно! Вы можете ознакомиться с отзывами на нашем сайте или в Instagram. Также наши клиенты часто делятся впечатлениями о занятиях в социальных сетях. Хотите, я отправлю вам ссылку на наш Instagram? Надеемся, это полезно. Спасибо за ваш вопрос!"
Учёт интересов ребёнка,Интересует следующее: Вы подстраиваетесь под интересы ребёнка?,"Да, конечно. Да, у нас учитываются интересы ребёнка — при выборе проектов он может выбрать тему, которая ему близка. Хотите рассказать, что ему интересно?"
Спецпредложения,Интересует следующее: У вас есть какие-то скидки или акции?,"Конечно! Мы регулярно запускаем спецпредложения, включая скидки за друга, акции на пробные уроки и сезонные абонементы. Хотите, расскажу о текущих спецпредложениях? Спасибо за ваш вопрос!"
Подготовка к олимпиадам,"Интересует следующее: Вы готовите к олимпиадам? Поясните, пожалуйста.","Конечно! Да, у нас есть специальная программа по подготовке к олимпиадам — подготовка к олимпиадам помогает развить системное мышление и навыки решения задач. Хотите узнать о формате? Спасибо за ваш вопрос!"
Тематические модули,Можете пояснить: Можете пояснить: Чем отличаются модули курсов?,"Конечно! У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Надеемся, это полезно."
Оплаченные занятия,"Сгорают ли оплаченные занятия при пропусках? Поясните, пожалуйста.","Нет, оплаченные занятия не сгорают, если вы заранее предупредите нас о пропуске. Мы всегда идем навстречу нашим клиентам. Уведомите нас о переносе, и мы с радостью найдем для вас удобное время! Спасибо за ваш вопрос!"
Смена направления обучения,"Можете пояснить: Интересует следующее: А если ребёнку станет интересно другое направление? Поясните, пожалуйста.","Да, конечно. Да, возможна смена направления обучения — мы гибко подстраиваемся под интересы и развитие ребёнка. Хотите рассмотреть другие курсы? Спасибо за ваш вопрос! Спасибо за ваш вопрос!"
Занятие длится,"Интересует следующее: Сколько длится одно занятие? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. Для детей 5-9 лет одно занятие длится 90 минут, а для детей 9-17 лет — 120 минут. Мы делаем все возможное, чтобы это время было максимально увлекательным и продуктивным. Хотите узнать о расписании? Если останутся вопросы — пишите. Спасибо за ваш вопрос!"
Игровые форматы финальных занятий,Что происходит в конце модуля? (уточнение),"Финальные занятия проходят в игровых форматах — защита проектов, челленджи, мини-соревнования. Хотите принять участие? Спасибо за ваш вопрос!"
Психологическая поддержка,"Как вы работаете с застенчивыми детьми? Поясните, пожалуйста.","Да, конечно. У нас предусмотрена психологическая поддержка — педагоги мягко помогают ребенку адаптироваться и почувствовать уверенность. Хотите поговорить с методистом?"
Семейный день,Можете пояснить: Бывают ли мероприятия для всей семьи?,"Да! Мы проводим семейный день, когда родители могут вместе с детьми принять участие в мастер-классах. Хотите узнать дату следующего семейного дня? Если останутся вопросы — пишите."
Занятия,"Можно ли заниматься онлайн? Поясните, пожалуйста.","Пока все занятия проходят только офлайн, так как наши курсы предполагают работу с физическими моделями роботов. Мы проводим занятия в комфортных классах. Хотите узнать больше о локации? Надеемся, это полезно."
Карта достижений,Можно ли отследить прогресс? (уточнение),"Да, мы ведем карту достижений — в ней отмечаются все шаги, от освоения базовых блоков до презентаций. Хотите получить образец? Надеемся, это полезно."
Каникулы и перерывы,Можете пояснить: Можете пояснить: Есть ли перерывы на каникулах?,"Конечно! Мы делаем перерывы на государственные праздники, но также предлагаем интенсивы в это время. Если вы хотите отдохнуть — можно приостановить абонемент. Хотите узнать, когда ближайшие каникулы? Если останутся вопросы — пишите."
Контроль качества занятий,Хотелось бы узнать: Как вы проверяете качество преподавания? (уточнение),"Да, конечно. У нас действует контроль качества занятий — мы собираем обратную связь и проводим регулярные методические проверки. Хотите оставить отзыв? Надеемся, это полезно."
Геймификация обучения,Можете пояснить: Хотелось бы узнать: Как удерживается интерес на протяжении курса?,"Через геймификацию обучения — уровни, квесты, соревнования и открытые баллы. Дети вовлечены с первого дня. Хотите попробовать вводное задание? Если останутся вопросы — пишите. Если останутся вопросы — пишите."
Поддержка творческих идей,"Ребёнок хочет сделать нестандартный проект, это возможно? (уточнение)",Конечно! У нас есть поддержка творческих идей — преподаватель поможет адаптировать и реализовать даже необычную задумку. Хотите начать проект? Спасибо за ваш вопрос!
Lego Mindstorms EV3,"Что изучают дети на курсе Lego Mindstorms EV3? Поясните, пожалуйста.","Да, конечно. На курсе Lego Mindstorms EV3 дети 9-17 лет изучают сложное программирование, проектирование роботов и готовятся к соревнованиям. Уроки также включают проектные задачи и командную работу. Хотите выбрать время занятий?"
Логическое мышление,Можете пояснить: Какие навыки развиваются на курсе?,"Одно из ключевых направлений — развитие логического мышления, которое помогает решать задачи и строить алгоритмы. Хотите увидеть примеры упражнений? Если останутся вопросы — пишите."
Геймификация обучения,Можете пояснить: Интересует следующее: Как удерживается интерес на протяжении курса?,"Конечно! Через геймификацию обучения — уровни, квесты, соревнования и открытые баллы. Дети вовлечены с первого дня. Хотите попробовать вводное задание? Надеемся, это полезно."
Образовательный портал,Есть ли у вас личный кабинет или онлайн-платформа?,"Да, у нас есть образовательный портал, где размещаются домашние задания и материалы. Доступ предоставляется после регистрации. Хотите попробовать демо-доступ?"
Адаптация новых учеников,"Как новенькие встраиваются в процесс? (уточнение) Поясните, пожалуйста.","Конечно! Мы обеспечиваем адаптацию новых учеников — проводим вводный инструктаж и помогаем наладить контакт с группой. Хотите записаться? Надеемся, это полезно."
Видеоматериалы,Можете пояснить: Интересует следующее: Можно получить видеозапись занятий?,Видеоматериалы предоставляются только для индивидуальных курсов. Но мы делимся фрагментами в соцсетях и на платформе. Хотите пример видео? Если останутся вопросы — пишите. Спасибо за ваш вопрос!
Гибкая система уровней,"А что, если ребёнку станет слишком легко?","У нас предусмотрена гибкая система уровней — мы можем оперативно перевести ребёнка в более сложный курс. Хотите узнать, какие уровни доступны?"
Образовательный портал,Интересует следующее: Есть ли у вас личный кабинет или онлайн-платформа? (уточнение),"Да, у нас есть образовательный портал, где размещаются домашние задания и материалы. Доступ предоставляется после регистрации. Хотите попробовать демо-доступ? Надеемся, это полезно. Спасибо за ваш вопрос!"
Курсы в мини-группах,"Можете пояснить: Сколько детей на одном занятии? Поясните, пожалуйста.",Мы проводим курсы в мини-группах — обычно 3–5 учеников. Это позволяет уделить внимание каждому. Хотите выбрать удобное время? Если останутся вопросы — пишите. Спасибо за ваш вопрос!
Узнать о расписании,У вас есть курсы только по выходным?,"Да, наши курсы проходят по субботам и воскресеньям, чтобы было удобно даже для самых занятых семей. Хотите узнать о расписании?"
Игровые форматы финальных занятий,Интересует следующее: Что происходит в конце модуля? (уточнение),"Финальные занятия проходят в игровых форматах — защита проектов, челленджи, мини-соревнования. Хотите принять участие? Спасибо за ваш вопрос! Спасибо за ваш вопрос!"
Участие родителей в финале,"Интересует следующее: Хотелось бы узнать: Родители участвуют в итоговых занятиях? Поясните, пожалуйста.","Да, у нас есть участие родителей в финале — вы можете увидеть результат, задать вопросы, пообщаться с преподавателями. Хотите приглашение? Спасибо за ваш вопрос! Надеемся, это полезно. Спасибо за ваш вопрос!"
Обратная связь в мессенджерах,Хотелось бы узнать: Можно ли получать информацию о занятиях в WhatsApp?,"Да, мы даём обратную связь в мессенджерах, включая WhatsApp и Telegram. Родители всегда в курсе успехов детей. Хотите присоединиться к чату? Спасибо за ваш вопрос!"
Клубные дни,Интересует следующее: Можете пояснить: У вас бывают внеклассные мероприятия?,"Да, конечно. Да! Мы проводим клубные дни — это тематические встречи, мастер-классы и конкурсы, которые помогают детям раскрыться. Хотите получить расписание ближайших клубных дней? Если останутся вопросы — пишите."
Совмещение с другими кружками,"Хотелось бы узнать: Можно ли совмещать с другими кружками? Поясните, пожалуйста.","Да, конечно. Да, наши занятия легко совмещаются с другими кружками — расписание гибкое, и вы можете выбрать удобное время. Хотите подобрать вариант? Надеемся, это полезно."
Роботы на соревнования,Каких роботов собирают дети?,"Дети собирают роботы на соревнования — они проектируют модели, которые могут выполнять задания и соревноваться на аренах. Хотите узнать, как проходит подготовка?"
